4
x, y
0.0, 0.0
2.0, 2.450000047683716
3.5, 4.0
3.5, 9.0
time, x, y, lookahead, heading
2.3, 3.2024717, 7.422903, 3.7366629, -0.08765232
2.32, 3.2099655, 7.5105352, 3.729204, -0.085666746
2.34, 3.217435, 7.5999026, 3.7224631, -0.083718635
2.36, 3.2247763, 7.689815, 3.7153406, -0.08178178
2.3799999, 3.2320194, 7.78067, 3.7084749, -0.079864345
2.3999999, 3.2391758, 7.872664, 3.7017655, -0.077969894
2.4199998, 3.2444932, 7.942662, 3.6808705, -0.07611821
2.44, 3.25035, 8.021355, 3.621801, -0.07451925
2.46, 3.254815, 8.082545, 3.5550256, -0.07319674
2.48, 3.2605317, 8.161935, 3.5012372, -0.07220618
2.5, 3.2636027, 8.204918, 3.4268901, -0.071330845
2.52, 3.269218, 8.284147, 3.386344, -0.07078064
2.54, 3.2745004, 8.359292, 3.3013754, -0.07019814
2.56, 3.279475, 8.430549, 3.2205627, -0.06978392
2.58, 3.2841942, 8.498145, 3.1445003, -0.06978392
2.6, 3.288627, 8.561636, 3.0600493, -0.06978392
2.62, 3.2927723, 8.621014, 2.9757183, -0.06978392
2.6399999, 3.2966297, 8.676268, 2.891481, -0.06978392
2.6599998, 3.3001986, 8.7273855, 2.807307, -0.06978392
2.6799998, 3.3034778, 8.774355, 2.7231581, -0.06978392
2.7, 3.3064578, 8.816805, 2.6321142, -0.07013753
2.72, 3.3091483, 8.854872, 2.546376, -0.07060341
2.74, 3.3111968, 8.883618, 2.461986, -0.07115206
2.76, 3.3127677, 8.905485, 2.3904736, -0.071797125
2.78, 3.3127677, 8.905485, 2.3904736, -0.07244219
2.8, 3.3127677, 8.905485, 2.3904736, -0.07308725
2.82, 3.3127677, 8.905485, 2.3904736, -0.07373232
2.84, 3.3127677, 8.905485, 2.3904736, -0.07437738
2.86, 3.3127677, 8.905485, 2.3904736, -0.07437738
