3
x, y
3.5, 19.0
2.0, 20.0
5.0, 21.0
time, x, y, lookahead, heading
1.3399999, 3.5912352, 19.942884, 3.3970318, -1.6185601
1.36, 3.6387267, 19.939966, 3.420948, -1.6309682
1.38, 3.683979, 19.936943, 3.4435344, -1.6369764
1.4, 3.732771, 19.93373, 3.4679248, -1.6365845
1.42, 3.7794986, 19.931005, 3.4915793, -1.6297927
1.4399999, 3.8276484, 19.928871, 3.5165112, -1.6166009
1.4599999, 3.8763134, 19.9277, 3.5425315, -1.5970091
1.48, 3.9243634, 19.927822, 3.5692859, -1.5710173
1.5, 3.9727035, 19.92954, 3.59753, -1.5386255
1.52, 4.021152, 19.933182, 3.6274352, -1.4998337
1.54, 4.0695353, 19.939058, 3.6591618, -1.4546418
1.56, 4.1176596, 19.947474, 3.6928592, -1.40305
1.5799999, 4.164914, 19.958624, 3.7283492, -1.3450581
1.5999999, 4.2114496, 19.972858, 3.766006, -1.2806662
1.62, 4.256935, 19.99041, 3.80584, -1.2098744
1.64, 4.300986, 20.011478, 3.2786446, -1.1326826
1.66, 4.3433847, 20.035547, 3.2692173, -1.0618907
1.68, 4.38409, 20.062214, 3.256792, -0.99749887
1.6999999, 4.423111, 20.091105, 3.241723, -0.939507
1.7199999, 4.460842, 20.122135, 3.2242155, -0.8879152
1.74, 4.4970665, 20.15474, 3.2047396, -0.84272337
1.76, 4.5319138, 20.188591, 3.1836452, -0.80393153
1.78, 4.56552, 20.223377, 3.161272, -0.7715397
1.8, 4.5980177, 20.258768, 3.137974, -0.74554783
1.8199999, 4.630253, 20.295242, 3.1135645, -0.725956
1.8399999, 4.6617165, 20.331749, 3.0888813, -0.7127642
1.86, 4.6920547, 20.36739, 3.0646625, -0.7059724
1.88, 4.723762, 20.40461, 3.03938, -0.70558053
1.9, 4.7506657, 20.435938, 2.972598, -0.70924515
1.92, 4.7771006, 20.466345, 2.87029, -0.71510184
1.9399999, 4.8019285, 20.49443, 2.7692542, -0.72312886
1.9599999, 4.824643, 20.519587, 2.670787, -0.73334986
1.9799999, 4.8442273, 20.540731, 2.5760958, -0.74581414
2.0, 4.861475, 20.558802, 2.4855561, -0.7606233
2.02, 4.8767014, 20.574203, 2.398412, -0.77785444
2.04, 4.8893323, 20.58648, 2.3573039, -0.7975786
2.06, 4.9011626, 20.597528, 2.3505628, -0.8174336
2.08, 4.913269, 20.608421, 2.3440566, -0.8361796
2.1, 4.925284, 20.618858, 2.3379548, -0.85381657
2.12, 4.9374666, 20.629093, 2.332098, -0.8703604
2.1399999, 4.9497604, 20.639103, 2.3264906, -0.8858176
2.1599998, 4.9616976, 20.648544, 2.3213077, -0.9002024
2.18, 4.97358, 20.657688, 2.3163898, -0.9135493
2.2, 4.9853225, 20.666498, 2.3117456, -0.92588
2.22, 4.9968348, 20.674934, 2.3073828, -0.9372174
2.24, 5.0080113, 20.682951, 2.3033133, -0.94759154
2.26, 5.0080113, 20.682951, 2.3033133, -0.9565619
2.28, 5.0080113, 20.682951, 2.3033133, -0.96233225
2.3, 5.0080113, 20.682951, 2.3033133, -0.9649026
2.32, 5.0080113, 20.682951, 2.3033133, -0.9649026
