4
x, y
0.0, 0.0
0.0, 2.0
-4.5, 4.0
-4.5, 10.0
time, x, y, lookahead, heading
2.6799998, -4.1050096, 9.133551, 3.1781769, 0.12737247
2.7, -4.1102877, 9.175003, 3.1329563, 0.12672542
2.72, -4.1174526, 9.23149, 3.1008186, 0.12621956
2.74, -4.1229353, 9.274914, 3.0549355, 0.12563746
2.76, -4.129597, 9.327883, 3.019579, 0.1251688
2.78, -4.1359806, 9.378835, 2.9736056, 0.12466851
2.8, -4.1420975, 9.42785, 2.9294698, 0.12421701
2.82, -4.147954, 9.474923, 2.8855324, 0.12381412
2.84, -4.15355, 9.520047, 2.8416975, 0.12345488
2.86, -4.1588926, 9.563229, 2.7982538, 0.12314962
2.8799999, -4.1639814, 9.604457, 2.75487, 0.122892395
2.8999999, -4.1688223, 9.643737, 2.7118456, 0.12269308
2.9199998, -4.1734395, 9.681203, 2.671697, 0.12269308
2.9399998, -4.1778073, 9.716644, 2.6276608, 0.12269308
2.96, -4.1819253, 9.750058, 2.5838091, 0.12269308
2.98, -4.185793, 9.78144, 2.540134, 0.12269308
3.0, -4.1894097, 9.810785, 2.4966261, 0.12269308
3.02, -4.192775, 9.83809, 2.4532738, 0.12269308
3.04, -4.1958685, 9.863154, 2.4063122, 0.122886844
3.06, -4.1958685, 9.863154, 2.3649478, 0.12315535
3.08, -4.1958685, 9.863154, 2.361477, 0.12360237
3.1, -4.1958685, 9.863154, 2.3619876, 0.12402311
3.12, -4.1958685, 9.863154, 2.3627238, 0.124405995
3.1399999, -4.1958685, 9.863154, 2.3634844, 0.124749765
3.1599998, -4.1958685, 9.863154, 2.3642497, 0.12505418
3.1799998, -4.1958685, 9.863154, 2.364844, 0.12532802
3.1999998, -4.1958685, 9.863154, 2.3654227, 0.1255721
3.22, -4.198776, 9.886145, 2.36292, 0.12579538
3.24, -4.201453, 9.907316, 2.324614, 0.12579538
3.26, -4.201453, 9.907316, 2.324614, 0.12579538
3.28, -4.201453, 9.907316, 2.324614, 0.12579538
3.3, -4.201453, 9.907316, 2.324614, 0.12579538
3.32, -4.201453, 9.907316, 2.324614, 0.12579538
